"translation_id","translation_key","language_code","translation_value","is_active","module_code","sort_order","created_at","created_by","updated_at","updated_by"
1134,"COMMON.REFRESH","en-US","Refresh",1,"COMMON","173",30.05.2026 09:47:37,"SYSTEM",31.05.2026 14:49:44,"System User"
1135,"COMMON.SEARCH","de-CH","Suche",1,"COMMON","174",30.05.2026 09:47:38,"SYSTEM",31.05.2026 14:49:56,"System User"
1136,"COMMON.SEARCH","en-US","Search",1,"COMMON","174",30.05.2026 09:47:38,"SYSTEM",31.05.2026 14:49:56,"System User"
1137,"COMMON.CLEAR_SEARCH","de-CH","Filter Reset",1,"COMMON","175",30.05.2026 09:47:38,"SYSTEM",04.06.2026 12:30:16,"System User"
1138,"COMMON.CLEAR_SEARCH","en-US","Clear Filter",1,"COMMON","175",30.05.2026 09:47:38,"SYSTEM",04.06.2026 12:30:16,"System User"
1139,"COMMON.HOME","de-CH","Home",1,"COMMON","176",30.05.2026 09:47:38,"SYSTEM",31.05.2026 14:49:21,"System User"
1140,"COMMON.HOME","en-US","Home",1,"COMMON","176",30.05.2026 09:47:38,"SYSTEM",31.05.2026 14:49:21,"System User"
1141,"COMMON.BACK","de-CH","Zurück",1,"COMMON","177",30.05.2026 09:47:38,"SYSTEM",31.05.2026 14:44:07,"System User"
1142,"COMMON.BACK","en-US","Back",1,"COMMON","177",30.05.2026 09:47:38,"SYSTEM",31.05.2026 14:44:07,"System User"
1143,"FORM.FRMAPPSHELL.APP_TITLE","de-CH","EASIS v4",1,"FORM","10",30.05.2026 09:47:38,"SYSTEM",31.05.2026 23:57:45,"System User"
1144,"FORM.FRMAPPSHELL.APP_TITLE","en-US","EASIS v4",1,"FORM","10",30.05.2026 09:47:38,"SYSTEM",31.05.2026 23:57:45,"System User"
1145,"FORM.FRMAPPSHELL.APP_SUBTITLE","de-CH","Die clevere Auftragsbearbeitung",1,"FORM","20",30.05.2026 09:47:38,"SYSTEM",31.05.2026 23:56:20,"System User"
1146,"FORM.FRMAPPSHELL.APP_SUBTITLE","en-US","Clever order processing",1,"FORM","20",30.05.2026 09:47:38,"SYSTEM",31.05.2026 23:56:20,"System User"
1147,"FORM.FRMAPPSHELL.USER","de-CH","Benutzer",1,"FORM","30",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1148,"FORM.FRMAPPSHELL.USER","en-US","User",1,"FORM","30",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1149,"FORM.FRMAPPSHELL.TENANT","de-CH","Mandant",1,"FORM","40",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1150,"FORM.FRMAPPSHELL.TENANT","en-US","Tenant",1,"FORM","40",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
1151,"FORM.FRMAPPSHELL.ROLE","de-CH","Rolle",1,"FORM","50",30.05.2026 09:47:38,"SYSTEM",30.05.2026 09:47:38,"SYSTEM"
