"translation_key","old_language_code","new_language_code","old_text","new_text","classification","auto_cleanable"
"FORM.FRMADDRESSCOCKPIT.OPEN_INVOICES","DE-CH","de-CH","Offene Rechnungen","Offene Rechnungen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.OPEN_INVOICES","EN-US","en-US","Open invoices","Open invoices","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.OPEN_ORDERS","DE-CH","de-CH","Offene Auftraege","Offene Auftraege","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.OPEN_ORDERS","EN-US","en-US","Open orders","Open orders","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.OVERDUE_ITEMS","DE-CH","de-CH","Ueberfaellige Posten","Ueberfaellige Posten","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.OVERDUE_ITEMS","EN-US","en-US","Overdue items","Overdue items","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.RECHTECK24","DE-CH","de-CH","","","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.RECHTECK24","EN-US","en-US","","","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.REPORTS","DE-CH","de-CH","Reports","Reports","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.REPORTS","EN-US","en-US","Reports","Reports","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.SALES_CURRENT_YEAR","DE-CH","de-CH","Umsatz laufendes Jahr","Umsatz laufendes Jahr","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.SALES_CURRENT_YEAR","EN-US","en-US","Sales current year","Sales current year","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.STATUS","DE-CH","de-CH","Status","Status","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.STATUS","EN-US","en-US","Status","Status","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.STATUS_ACTIVE","DE-CH","de-CH","Aktiv","Aktiv","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.STATUS_ACTIVE","EN-US","en-US","Active","Active","IDENTICAL_SELF_MATCH","True"
